,ts,lstm,gru,bp,elm,svm,rw,arima,rf,mlp,dt,lstm,gru,bp,elm,svm,rw,arima,rf,mlp,dt,lstm,gru,bp,elm,svm,rw,arima,rf,mlp,dt
1656,30.6,30.4984794,30.43866924,30.65858721,30.73655123,30.18963494,30.39990987,30.80114747,30.71426189,30.7435488,28.96648055,31.10103518,31.15699083,31.0468876,31.19816281,31.31914501,30.25541904,30.85898085,31.35183483,31.17149965,33.329905,30.28697351,30.38409154,30.15469216,30.46612635,29.05541753,30.13,30.52444924,28.63006336,30.21769473,25.03833539
1657,30.29,30.04885082,29.96976925,30.15464017,30.33356662,29.6702192,30.8418601,30.33252748,30.18916016,30.30342519,28.30765399,30.90347699,30.96718946,30.83422318,30.89602964,31.15571409,30.6002839,30.69146126,31.05973407,30.9671101,32.85200422,30.44310861,30.61429929,30.44974758,30.58838782,29.22038484,30.6,30.89718138,28.47555882,30.88045129,27.19880898
1658,30.56,30.60765432,30.52183141,30.6685128,30.89126159,30.22468541,30.3500085,30.92516954,30.61695299,30.8613269,28.67043637,31.30092302,31.38105066,31.26691805,31.33117307,31.67207384,30.30369649,31.09842595,31.40021645,31.31742561,33.41413079,30.24967255,30.46939593,30.28320265,30.4088109,29.05864077,30.29,30.61414005,28.58428047,30.73495895,25.03833539
1659,32.06,31.48251041,31.39024257,31.51985254,31.7569673,31.08450018,30.8913729,31.80146088,31.26096587,31.75392752,30.58863635,31.18206017,31.30330062,31.17370246,31.27503852,31.53214762,30.54179868,31.05366525,31.33863076,31.33582403,33.13550612,30.54124669,30.62172254,30.49269095,30.71015085,29.27582642,30.56,30.81825962,28.72437982,30.84661317,27.19880898
1660,31.49,31.20424013,31.10985164,31.25624919,31.53005566,30.77180358,31.84867856,31.55369666,31.111666,31.48100409,29.92980979,32.24099306,32.24316024,32.16034979,31.81784606,32.38307776,32.10140953,32.22865232,31.49369527,32.05878682,33.82492479,31.5601576,31.60073316,31.67982812,31.60688398,30.30152174,32.06,32.17779338,29.27228968,31.72129894,27.19880898
1661,31.99,31.53566813,31.44784504,31.67731641,31.83068191,31.15792778,31.46909947,31.82881249,31.72744736,31.8132496,30.17780601,31.63723681,31.73281562,31.60794198,31.48550068,31.87747451,31.52324296,31.53991354,31.593244,31.36747624,33.54630012,31.34545017,31.52667219,31.47004379,31.62503961,30.19008997,31.49,31.9255341,29.48614349,31.91780605,27.19880898
1662,32.96,32.26564318,32.15770965,32.422532,32.55618544,31.84527485,31.79806761,32.56452407,32.32687265,32.53618922,30.58863635,32.04399443,32.08626706,32.00999039,32.01360556,32.19413161,31.93403763,32.09523465,31.81134586,32.11916404,33.74069899,31.90354867,31.88895139,31.85915136,32.40657849,30.65839518,31.99,32.17753683,29.86055465,32.30832985,27.19880898
1663,31.67,31.37706475,31.28808781,31.62816128,31.68249528,30.95201234,32.50840693,31.69666554,31.67861643,31.64202263,30.09007308,32.20495527,32.14973338,32.15880306,32.20883001,32.41622867,32.96797104,32.24302593,32.03988531,31.97817792,33.62893099,32.6126415,32.66560659,32.67703929,32.88366272,31.39177619,32.96,33.06170483,30.12356124,32.76390614,28.53176988
1664,31.08,31.10355609,31.00106749,31.3344619,31.37827949,30.66614921,31.63615243,31.33858097,31.44431997,31.35182073,30.09007308,31.47262926,31.42098629,31.40563975,31.31648038,31.75632489,31.79760257,31.40679595,31.42727022,31.18908942,33.31536094,31.75295103,31.9921884,31.78359341,32.11062749,30.6008568,31.67,32.02090861,30.04965887,32.15914264,27.19880898
1665,31.98,31.73259485,31.60801897,31.81084256,32.00848452,31.1980846,31.39542961,32.02305881,31.72881996,31.97172889,30.58863635,31.19643171,31.23364826,31.18102136,31.27032807,31.52288361,30.93993715,31.07643456,31.29713033,31.32188256,32.99186327,31.44620488,31.51126197,31.21136606,31.59667308,30.15780902,31.08,31.40806387,29.95205067,31.37227233,27.19880898
